y,Company,ReviewDate,CocoaPercent,CompanyLocation,BeanType,BeanOrigin
3.75,398.0,2016.0,78.0,2.0,12.0,52.0
3.75,318.0,2012.0,75.0,56.0,10.0,19.0
3.0,198.0,2014.0,72.0,56.0,11.0,2.0
3.25,19.0,2013.0,72.0,55.0,11.0,60.0
2.75,100.0,2008.0,88.0,1.0,8.0,19.0
2.75,19.0,2013.0,72.0,55.0,11.0,9.0
3.0,68.0,2016.0,65.0,9.0,11.0,9.0
3.0,64.0,2016.0,70.0,56.0,6.0,67.0
2.5,404.0,2013.0,75.0,56.0,12.0,3.0
3.5,130.0,2015.0,70.0,56.0,11.0,67.0
3.0,118.0,2007.0,64.0,56.0,12.0,12.0
2.5,143.0,2011.0,70.0,56.0,6.0,67.0
3.0,113.0,2015.0,70.0,56.0,11.0,37.0
2.75,126.0,2015.0,80.0,55.0,6.0,9.0
3.75,343.0,2009.0,70.0,7.0,6.0,37.0
3.5,357.0,2013.0,70.0,24.0,6.0,37.0
2.75,168.0,2014.0,65.0,7.0,12.0,63.0
1.0,267.0,2007.0,73.0,4.0,12.0,63.0
3.0,99.0,2015.0,75.0,56.0,11.0,37.0
3.0,33.0,2011.0,64.0,54.0,11.0,37.0
3.75,343.0,2009.0,70.0,7.0,6.0,67.0
3.25,396.0,2015.0,70.0,56.0,11.0,37.0
3.0,166.0,2009.0,64.0,29.0,8.0,19.0
2.0,326.0,2006.0,70.0,56.0,11.0,34.0
3.75,86.0,2015.0,80.0,0.0,6.0,46.0
3.25,382.0,2015.0,70.0,56.0,12.0,3.0
2.75,142.0,2009.0,74.0,56.0,12.0,11.0
3.5,49.0,2014.0,72.0,56.0,12.0,19.0
2.5,126.0,2015.0,70.0,55.0,11.0,67.0
3.0,58.0,2015.0,70.0,30.0,11.0,37.0
3.0,137.0,2009.0,70.0,57.0,11.0,67.0
3.5,57.0,2010.0,71.0,50.0,11.0,37.0
3.25,360.0,2015.0,60.0,30.0,11.0,68.0
2.75,225.0,2009.0,55.0,56.0,3.0,29.0
3.25,13.0,2015.0,75.0,7.0,12.0,18.0
2.75,206.0,2014.0,68.0,18.0,12.0,61.0
2.75,27.0,2016.0,70.0,56.0,12.0,16.0
3.75,66.0,2014.0,70.0,36.0,12.0,45.0
3.5,343.0,2014.0,70.0,7.0,12.0,41.0
4.0,247.0,2006.0,64.0,18.0,12.0,45.0
3.0,40.0,2009.0,75.0,18.0,12.0,33.0
2.75,186.0,2015.0,70.0,56.0,12.0,18.0
3.5,379.0,2006.0,64.0,18.0,11.0,37.0
3.5,201.0,2009.0,64.0,56.0,11.0,37.0
3.75,2.0,2015.0,70.0,56.0,12.0,46.0
3.25,399.0,2011.0,62.0,3.0,12.0,31.0
2.75,403.0,2013.0,72.0,7.0,11.0,41.0
3.25,240.0,2014.0,70.0,56.0,11.0,2.0
2.5,82.0,2015.0,65.0,55.0,6.0,46.0
3.0,90.0,2007.0,70.0,50.0,3.0,63.0
3.25,328.0,2014.0,72.0,56.0,6.0,2.0
3.25,18.0,2015.0,70.0,56.0,12.0,27.0
3.5,189.0,2014.0,70.0,56.0,11.0,37.0
3.0,157.0,2014.0,76.0,56.0,8.0,46.0
3.75,343.0,2013.0,70.0,7.0,6.0,67.0
4.0,288.0,2016.0,70.0,14.0,12.0,9.0
2.0,187.0,2006.0,71.0,56.0,11.0,23.0
3.0,237.0,2016.0,82.0,3.0,12.0,28.0
3.5,373.0,2011.0,72.0,32.0,12.0,37.0
3.5,122.0,2014.0,72.0,55.0,6.0,41.0
